item_id: int,   block_id: int,  texture_id: int,    name: str,          placeable: bool,    block_type: int,    max_stack: int,     max_durability: int,    breaking_multipliers: list [dirt, stone, wood]
1;              1;              1;                  Grass;              True;               0;                  64;                 0;                      [1, 1, 1]
2;              2;              3;                  Stone;              True;               1;                  64;                 0;                      [1, 1, 1]
3;              3;              4;                  Oak_Wood;           True;               2;                  64;                 0;                      [1, 1, 1]
4;              4;              6;                  Oak_Plank;          True;               2;                  64;                 0;                      [1, 1, 1]
5;              5;              7;                  Cobble_Stone;       True;               1;                  64;                 0;                      [1, 1, 1]
6;              0;              8;                  Stick;              False;              0;                  16;                 0;                      [1, 1, 1]
7;              6;              9;                  Crafting_Table;     True;               2;                  64;                 0;                      [1, 1, 1]
8;              7;              12;                 Birch_Log;          True;               0;                  64;                 0;                      [1, 1, 1]
9;              8;              14;                 Birch_Plank;        True;               0;                  64;                 0;                      [1, 1, 1]
10;             9;              15;                 Spruce_Log;         True;               0;                  64;                 0;                      [1, 1, 1]
11;             10;             17;                 Spruce_Plank;       True;               0;                  64;                 0;                      [1, 1, 1]
12;             11;             20;                 Coal_Block;         True;               0;                  64;                 0;                      [1, 1, 1]
13;             12;             19;                 Coal_Ore;           True;               0;                  64;                 0;                      [1, 1, 1]
14;             13;             22;                 Iron_Ore;           True;               0;                  64;                 0;                      [1, 1, 1]
15;             14;             23;                 Iron_Block;         True;               0;                  64;                 0;                      [1, 1, 1]
16;             15;             26;                 Gold_ore;           True;               0;                  64;                 0;                      [1, 1, 1]
17;             16;             27;                 Gold_Block;         True;               0;                  64;                 0;                      [1, 1, 1]
18;             17;             30;                 Diamond_Ore;        True;               0;                  64;                 0;                      [1, 1, 1]
19;             18;             31;                 Diamond_Block;      True;               0;                  64;                 0;                      [1, 1, 1]
20;             19;             32;                 Sand;               True;               0;                  64;                 0;                      [1, 1, 1]
21;             20;             33;                 Gravel;             True;               0;                  64;                 0;                      [1, 1, 1]
22;             21;             34;                 Clay;               True;               0;                  64;                 0;                      [1, 1, 1]
23;             22;             35;                 Andesite;           True;               0;                  64;                 0;                      [1, 1, 1]
24;             23;             36;                 Polished_Andesite;  True;               0;                  64;                 0;                      [1, 1, 1]
25;             24;             37;                 Diorite;            True;               0;                  64;                 0;                      [1, 1, 1]
26;             25;             38;                 Polished_Diorite;   True;               0;                  64;                 0;                      [1, 1, 1]
27;             26;             39;                 Granite;            True;               0;                  64;                 0;                      [1, 1, 1]
28;             27;             40;                 Polished_Granite;   True;               0;                  64;                 0;                      [1, 1, 1]
29;             28;             41;                 Stone_Bricks;       True;               0;                  64;                 0;                      [1, 1, 1]
30;             29;             42;                 Bricks;             True;               0;                  64;                 0;                      [1, 1, 1]
31;             30;             46;                 Oak_leave;          True;               0;                  64;                 0;                      [1, 1, 1]
32;             31;             47;                 Birch_leaves;       True;               0;                  64;                 0;                      [1, 1, 1]
33;             32;             48;                 Spruce_leave;       True;               0;                  64;                 0;                      [1, 1, 1]
